Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
17-021,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.25,1,1.39,0.66,0.59,,Dissection finished,yes,26,8,317,6,,,,,,,,,,,,,,,,,,,,,,,
17-023,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.17,1.13,1.62,0.63,0.55,,Dissection finished,yes,48,28,329,4,,,,,,,,,,,,,,,,,,,,,,,
17-030,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.217,2.313,1.405,0.875,0.83,,*1st PRIORITY,yes,110,66,312,6,,,,,,,,,,,,,,,,,,,,,,,
17-032,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.124,2.063,1.262,0.75,0.507,,*1st PRIORITY,yes,44,16,10,3,,,,,,,,,,,,,,,,,,,,,,,
17-037,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.184,2.163,1.674,0.584,0.654,,*2nd PRIORITY,yes,37,5,148,3,,,,,,,,,,,,,,,,,,,,,,,
17-038,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.96,2.174,1.546,0.624,0.66,,*2nd PRIORITY,yes,196,41,114,4,,,,,,,,,,,,,,,,,,,,,,,
17-039,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3678,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,0.942,2.909,2.214,0.665,0.592,,*2nd PRIORITY,yes,80,20,198,6,,,,,,,,,,,,,,,,,,,,,,,
17-184,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.781,2.163,1.547,0.677,0.606,,*1st PRIORITY,yes,107,109,337,8,,,,,,,,,,,,,,,,,,,,,,,
17-187,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.101,1.982,1.116,0.857,0.625,,*1st PRIORITY,yes,141,49,77,7,,,,,,,,,,,,,,,,,,,,,,,
17-188,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,0.937,2.381,1.425,0.944,0.567,,*1st PRIORITY,yes,57,12,405,6,,,,,,,,,,,,,,,,,,,,,,,
17-189,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,2.109,2.654,1.902,0.965,0.873,,*1st PRIORITY,yes,42,23,153,7,,,,,,,,,,,,,,,,,,,,,,,
17-190,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.172,2.115,1.481,0.474,0.621,,*1st PRIORITY,yes,39,53,646,6,,,,,,NMS: Please explain why. Did this one not have an appropriate flower? ,,,,,,,,,,,,,,,,,
17-191,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.103,2.468,1.549,0.631,0.668,,*1st PRIORITY,yes,73,55,17,4,,,,,,,,,,,,,,,,,,,,,,,
17-183,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.58,131,1.54,0.99,0.74,,Dissection finished,yes,322,31,433,5,,,,,,,,,,,,,,,,,,,,,,,
17-185,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,NA,NA,NA,NA,NA,unable to measure d/t condition of flower,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-186,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,NA,1.37,NA,NA,NA,unable to measure d/t condition of flower,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
