Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
4,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3703.32,"12,150",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1-3-6,1985,past,Polemonium viscosum,Sweet,6/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1-3-8,1985,past,Polemonium viscosum,Skunky,6/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3749.04,"12,300",alpine,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,,,alpine,Summit,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,,,alpine,Summit,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,,,,Humphreys Pk,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,,,,Humphreys Pk,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,,,,Humphreys Pk,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1985,past,Polemonium viscosum,NA,6/17/85,San Francisco Peaks,Arizona,,,,Humphreys Pk,Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
